# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 1
# active_virtual = 0
# process  = nu_e nu_e -> nu_e nu_e
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
0.000141351558483553	3.36902876934315e-10	1.57013171246727e-18	3.36902876934236e-10	1.00000000000024
0.00014939934636054	3.76357792008745e-10	2.51435358734968e-18	3.76357792008845e-10	0.999999999999733
0.000157905331447433	4.20433297853581e-10	1.57013171246727e-18	4.20433297853429e-10	1.00000000000036
0.000166895600997819	4.6967051485897e-10	1.57013171246727e-18	4.69670514858768e-10	1.00000000000043
0.000176397727531422	5.24673934376558e-10	1.72896651190369e-18	5.24673934376608e-10	0.999999999999904
0.000186440853397067	5.86118840134153e-10	1.57013171246727e-18	5.86118840134122e-10	1.00000000000005
0.000197055780150199	6.54759598775182e-10	1.57013171246727e-18	6.54759598775043e-10	1.00000000000021
0.000208275063019072	7.31438921311721e-10	1.57013171246727e-18	7.31438921311466e-10	1.00000000000035
0.000220133110749325	8.17098209190008e-10	3.62583438523737e-18	8.170982091903e-10	0.999999999999643
0.000232666291133169	9.12789111993995e-10	4.8934087782403e-18	9.12789111994281e-10	0.999999999999686
0.000245913042546829	1.01968643867303e-09	1.57013171246727e-18	1.01968643867288e-09	1.00000000000015
0.00025991399183832	1.13910258081595e-09	1.57013171246727e-18	1.13910258081583e-09	1.0000000000001
0.00027471207892711	1.27250362504526e-09	8.32881570671744e-18	1.27250362504569e-09	0.999999999999662
0.000290352688497812	1.42152735234255e-09	9.6108486045973e-18	1.42152735234303e-09	0.999999999999664
0.000306883789191796	1.58800334528516e-09	1.57013171246727e-18	1.58800334528444e-09	1.00000000000046
0.000324356080723615	1.77397545005178e-09	1.09159829428112e-17	1.77397545005218e-09	0.999999999999775
0.000342823149373433	1.98172686898483e-09	1.57013171246727e-18	1.98172686898444e-09	1.0000000000002
0.000362341632332353	2.21380819173005e-09	1.57013171246727e-18	2.21380819173043e-09	0.999999999999829
0.000382971391404668	2.47306870915314e-09	1.57013171246727e-18	2.47306870915231e-09	1.00000000000033
0.000404775696599775	2.76269139441877e-09	1.57013171246727e-18	2.76269139441855e-09	1.00000000000008
0.000427821420176806	3.0862319807567e-09	1.57013171246727e-18	3.08623198075586e-09	1.00000000000027
0.000452179241737117	3.44766261562356e-09	1.57013171246727e-18	3.44766261562208e-09	1.00000000000043
0.00047792386499361	3.85142062724904e-09	1.57013171246727e-18	3.85142062724764e-09	1.00000000000036
0.000505134246881729	4.30246300225853e-09	4.50408970124521e-18	4.30246300225845e-09	1.00000000000002
0.000533893839714791	4.80632724320914e-09	1.57013171246727e-18	4.8063272432086e-09	1.00000000000011
0.000564290847126313	5.36919935318068e-09	1.57013171246727e-18	5.36919935317824e-09	1.00000000000046
0.000596418494584308	5.99798978209432e-09	1.57013171246727e-18	5.9979897820921e-09	1.00000000000037
0.000630375315307193	6.70041826715838e-09	5.10237375636245e-17	6.7004182671606e-09	0.999999999999669
0.000666265452458184	7.48510860903727e-09	6.20291326806602e-17	7.48510860904026e-09	0.999999999999601
0.000704198978545002	8.36169454729512e-09	1.57013171246727e-18	8.3616945472919e-09	1.00000000000039
0.000744292233004453	9.34093803498706e-09	1.57013171246727e-18	9.34093803498261e-09	1.00000000000048
0.000786668179007239	1.04348613645001e-08	6.30134544510429e-17	1.04348613645032e-08	0.999999999999706
0.000831456780577292	1.16568947667294e-08	1.57013171246727e-18	1.16568947667261e-08	1.00000000000028
0.000878795401182222	1.30220412955934e-08	6.5362238922954e-17	1.30220412955968e-08	0.999999999999734
0.000928829225017345	1.45470610224652e-08	8.89298252208412e-17	1.45470610224665e-08	0.999999999999907
0.00098171170227532	1.62506768015448e-08	1.57013171246727e-18	1.62506768015433e-08	1.00000000000009
0.00103760501976702	1.81538041326718e-08	3.13867807343292e-17	1.81538041326691e-08	1.00000000000015
0.00109668059833698	2.02798079434701e-08	1.05000587087866e-16	2.02798079434754e-08	0.99999999999974
0.001159119618599	2.2654789443478e-08	1.57013171246727e-18	2.26547894434647e-08	1.00000000000059
0.00122511357660424	2.53079065717502e-08	1.70783486464339e-16	2.53079065717594e-08	0.999999999999635
0.00129486487114604	2.8271731972711e-08	1.57013171246727e-18	2.82717319726954e-08	1.00000000000055
0.00136858742450266	3.15826528941659e-08	1.21473817126e-16	3.15826528941694e-08	0.999999999999889
0.00144650733852179	3.52813179183559e-08	1.57013171246727e-18	3.52813179183422e-08	1.00000000000039
0.00152886358805889	3.9413136009278e-08	1.57013171246727e-18	3.94131360092644e-08	1.00000000000034
0.00161590875389608	4.402883400432e-08	1.57013171246727e-18	4.4028834004294e-08	1.00000000000059
0.0017079097973896	4.91850793937242e-08	1.57013171246727e-18	4.91850793936956e-08	1.00000000000058
0.00180514887922129	5.49451760343613e-08	3.64306769534195e-16	5.49451760343637e-08	0.999999999999956
0.00190792422476546	6.13798413390291e-08	2.62780639989081e-16	6.1379841339031e-08	0.999999999999968
0.00201655103872495	6.85680744826321e-08	3.3383447391764e-16	6.85680744826098e-08	1.00000000000032
0.00213136247184165	7.65981262847808e-08	1.57013171246727e-18	7.65981262847413e-08	1.00000000000052
0.00225271064264621	8.55685826759221e-08	4.55751238324535e-16	8.55685826759192e-08	1.00000000000003
0.0023809677173806	9.55895750491106e-08	1.57013171246727e-18	9.55895750490348e-08	1.00000000000079
0.00251652705140564	1.06784132355998e-07	6.53863467931646e-16	1.06784132355975e-07	1.00000000000022
0.00265980439559402	1.19289691549191e-07	1.57013171246727e-18	1.19289691549128e-07	1.00000000000052
0.00281123917140874	1.33259784911746e-07	4.61969455202493e-16	1.33259784911679e-07	1.0000000000005
0.00297129581857763	1.48865924992308e-07	6.99591409982243e-16	1.48865924992236e-07	1.00000000000048
0.00314046521949706	1.66299710285508e-07	2.96719961779548e-16	1.66299710285386e-07	1.00000000000073
0.00331926620473352	1.85775177510025e-07	1.57013171246727e-18	1.85775177509847e-07	1.00000000000096
0.00350824714424014	2.07531429363734e-07	1.57013171246727e-18	2.07531429363448e-07	1.00000000000138
0.00370798762916854	2.31835570016424e-07	6.34494664895031e-16	2.3183557001618e-07	1.00000000000105
0.00391910024943379	2.58985984381155e-07	1.57013171246727e-18	2.58985984380743e-07	1.00000000000159
0.00414223247248431	2.89316001421006e-07	1.13362189550653e-15	2.89316001420572e-07	1.0000000000015
0.0043780686290386	3.23197986470684e-07	1.71054063853052e-15	3.23197986470229e-07	1.00000000000141
0.00462733201187915	3.61047912810925e-07	1.57013171246727e-18	3.61047912810068e-07	1.00000000000237
0.00489078709414007	4.0333046862186e-07	8.59546909092511e-16	4.03330468620941e-07	1.00000000000228
0.00516924187389211	4.50564762018842e-07	1.57013171246727e-18	4.50564762017652e-07	1.00000000000264
0.00546355035221541	5.03330694204084e-07	1.57013171246727e-18	5.03330694202526e-07	1.00000000000309
0.00577461515236039	5.62276078984709e-07	1.35414814131194e-15	5.62276078983064e-07	1.00000000000293
0.00610339028802922	6.28124596062918e-07	1.91952511227834e-15	6.28124596060855e-07	1.00000000000328
0.00645088408926832	7.01684675738162e-07	1.57013171246727e-18	7.01684675735209e-07	1.00000000000421
0.00681816229494515	7.8385942410346e-07	1.57013171246727e-18	7.8385942410007e-07	1.00000000000432
0.00720635132129376	8.75657710590841e-07	5.77100390258209e-15	8.75657710587021e-07	1.00000000000436
0.00761664171655363	9.78206553982482e-07	5.0927043238091e-15	9.78206553977434e-07	1.00000000000516
0.00805029181229676	1.09276495895436e-06	5.43825816776526e-15	1.09276495894829e-06	1.00000000000555
0.00850863158264141	1.22073937303237e-06	1.57013171246727e-18	1.22073937302455e-06	1.0000000000064
0.00899306672318849	1.36370095371477e-06	2.27995795606136e-15	1.36370095370479e-06	1.00000000000732
0.00950508296219043	1.52340485776285e-06	8.4647270981092e-15	1.52340485775068e-06	1.00000000000799
0.0100462506171744	1.70181178947284e-06	1.57013171246727e-18	1.701811789457e-06	1.0000000000093
0.0106182294109949	1.90111207247188e-06	1.88224524925245e-15	1.90111207245272e-06	1.00000000001008
0.0112227735620862	2.12375254058894e-06	7.21667668941613e-15	2.12375254056536e-06	1.0000000000111
0.0118617371645259	2.3724665779213e-06	1.57013171246727e-18	2.37246657789061e-06	1.00000000001294
0.0125370798744104	2.65030767690981e-06	9.11402086945488e-15	2.65030767687248e-06	1.00000000001408
0.0132508729199808	2.96068692643759e-06	1.57013171246727e-18	2.96068692638998e-06	1.00000000001608
0.0140053054539335	3.30741489015296e-06	1.51754387717087e-14	3.30741489009548e-06	1.00000000001738
0.0148026912673965	3.69474838922025e-06	2.95948470109535e-14	3.69474838914933e-06	1.00000000001919
0.0156454758861625	4.1274427637982e-06	1.57013171246727e-18	4.12744276370713e-06	1.00000000002206
0.0165362440709434	4.61081025489054e-06	2.84543903881048e-14	4.6108102547787e-06	1.00000000002426
0.0174777277446485	5.1507852233604e-06	2.04446878673524e-14	5.15078522321848e-06	1.00000000002755
0.0184728143709981	5.75399700672572e-06	1.57013171246727e-18	5.7539970065466e-06	1.00000000003113
0.0195245558101705	6.4278513082899e-06	3.08594957334116e-14	6.42785130807019e-06	1.00000000003418
0.0206361776786405	7.18062111779928e-06	4.18468572803519e-14	7.1806211175255e-06	1.00000000003813
0.0218110892419173	8.02154827982457e-06	1.77178531594082e-14	8.02154827948088e-06	1.00000000004285
0.0230528938705193	8.96095695689443e-06	1.57013171246727e-18	8.96095695646271e-06	1.00000000004818
