# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
2.48193028918635e-06	1.72919730147416e-14	1.77927461236449e-17	1.73113694566497e-14	0.998879554736748
2.62323788216323e-06	1.93322235949617e-14	4.93284026579977e-17	1.93387151948473e-14	0.999664321035796
2.7725907598606e-06	2.15962328758724e-14	5.51052839816398e-17	2.16034847112435e-14	0.999664321035796
2.93044697697227e-06	2.41253817564194e-14	6.15586996349861e-17	2.41334828589482e-14	0.999664321035793
3.09729066733154e-06	2.69507209075909e-14	6.87678789934689e-17	2.69597707355067e-14	0.999664321035792
3.27363352871539e-06	3.01069373646533e-14	7.68213300362257e-17	3.01170470238029e-14	0.999664321035806
3.46001639218526e-06	3.36327803841355e-14	8.58179259694174e-17	3.36440739920449e-14	0.999664321035794
3.65701088077765e-06	3.75715371732077e-14	9.58681191046718e-17	3.75841533828857e-14	0.999664321035796
3.86522116263144e-06	4.19622932427466e-14	1.99638742866291e-17	4.19856580342286e-14	0.999443505411707
4.08528580392875e-06	4.68897119344501e-14	5.54390094137763e-17	4.69026257584903e-14	0.999724667354303
4.31787972733222e-06	5.2380996601078e-14	6.19315078695445e-17	5.23954227714515e-14	0.999724667354315
4.56371628192498e-06	5.85153691871214e-14	6.91843470428857e-17	5.85314848156915e-14	0.999724667354316
4.8235494310017e-06	6.5368142137155e-14	7.7286570929838e-17	6.53861450774704e-14	0.999724667354313
5.09817606442068e-06	7.30234477851291e-14	8.63376515267307e-17	7.30435590614959e-14	0.999724667354312
5.38843844260849e-06	8.15752712573506e-14	9.64487100600875e-17	8.15977377783753e-14	0.999724667354311
5.69522677971311e-06	9.11268473175488e-14	2.30792327716468e-17	9.1153701929323e-14	0.99970539197854
6.01948197382758e-06	1.01793475184572e-13	6.43389604723089e-17	1.01828771258189e-13	0.999653378183978
6.36219849265782e-06	1.13714575280584e-13	7.18737379860901e-17	1.13754004900343e-13	0.999653378183972
6.7244274234846e-06	1.27031763163572e-13	8.02909181958756e-17	1.27075810411751e-13	0.999653378183968
7.1072796967738e-06	1.41908535582435e-13	8.96938398552514e-17	1.41957741232499e-13	0.999653378183982
7.51192949332137e-06	1.58527536496679e-13	1.00197943787107e-16	1.58582504652432e-13	0.999653378183971
7.93961784538272e-06	1.77092799418734e-13	1.11932190163221e-16	1.77154204930963e-13	0.999653378183976
8.39165644283063e-06	1.97832252358383e-13	1.25040641765661e-16	1.97900849110093e-13	0.999653378183978
8.86943165601521e-06	2.21000516122907e-13	1.39684232662405e-16	2.21077146284834e-13	0.999653378183974
9.37440878766353e-06	2.46882030327963e-13	1.56042744014798e-16	2.46967634698001e-13	0.999653378183976
9.90813656685925e-06	2.7579454549762e-13	1.74317011273129e-16	2.75890175051122e-13	0.999653378183966
1.0472251898885e-05	3.08093024126532e-13	1.94731389857065e-16	3.08199852919249e-13	0.999653378183977
1.10684848854948e-05	3.44173998597988e-13	2.17536509597043e-16	3.44293338180113e-13	0.999653378183974
1.16986641310138e-05	3.84480439460643e-13	2.43012351744589e-16	3.84613754978864e-13	0.99965337818397
1.23647223505379e-05	4.29507193832263e-13	2.7147168633794e-16	4.29656122017542e-13	0.999653378183976
1.30687022974343e-05	4.79807060698458e-13	3.03263912118876e-16	4.79973429960397e-13	0.99965337818397
1.3812763028321e-05	5.35997577693664e-13	3.38779346141577e-16	5.3618343056809e-13	0.999653378183974
1.45991865247407e-05	5.98768602686378e-13	3.78454015745934e-16	5.98976220911828e-13	0.999653378183973
1.54303846918366e-05	6.68890783248847e-13	4.22775011715775e-16	6.69122715779733e-13	0.999653378183977
1.63089067554944e-05	7.472250179918e-13	4.72286468355093e-16	7.47484112292252e-13	0.999653378183975
1.72374470806373e-05	8.34733025922299e-13	5.27596243888692e-16	8.35022462924818e-13	0.999653378183977
1.82188534346529e-05	9.32489153585907e-13	5.89383383215316e-16	9.32812486744084e-13	0.999653378183964
1.92561357212933e-05	1.04169356495106e-12	6.58406454619438e-16	1.0420547638657e-12	0.999653378183979
2.03524752118372e-05	1.16368697596915e-12	7.35512862817407e-16	1.16409047512367e-12	0.999653378183968
2.15112343018231e-05	1.29996711470889e-12	8.21649252636815e-16	1.30041786791187e-12	0.999653378183967
2.27359668232787e-05	1.45220710914734e-12	9.17873131098538e-16	1.45271065035112e-12	0.999653378183977
2.40304289440714e-05	1.62227602836731e-12	1.02536585056241e-15	1.62283853960902e-12	0.999653378183976
2.53985906878091e-05	1.81226182934779e-12	1.14544711232667e-15	1.81289021664693e-12	0.999653378183981
2.68446481096216e-05	2.02449699106775e-12	1.27959116877176e-15	2.02519896921228e-12	0.99965337818397
2.83730361651642e-05	2.26158715063674e-12	1.42944492292729e-15	2.26237133789842e-12	0.99965337818397
2.99884423123125e-05	2.52644309302115e-12	1.59684814771184e-15	2.52731911696316e-12	0.999653378183971
3.16958208872635e-05	2.82231648710826e-12	1.78385607304799e-15	2.82329510278398e-12	0.999653378183967
3.35004082991338e-05	3.15283980684401e-12	1.99276461816764e-15	3.15393302883808e-12	0.999653378183979
3.54077390896554e-05	3.52207092756097e-12	2.22613857890537e-15	3.52329217749393e-12	0.999653378183973
3.74236629072227e-05	3.93454294501173e-12	2.48684311599573e-15	3.93590721631877e-12	0.999653378183971
3.95543624473501e-05	4.39531982874121e-12	2.77807893101111e-15	4.39684387074846e-12	0.999653378183977
4.18063724145608e-05	4.91005859306179e-12	3.10342156177703e-15	4.91176111661992e-12	0.999653378183974
4.41865995638629e-05	5.48507874891199e-12	3.46686527966783e-15	5.48698065611151e-12	0.999653378183974
4.6702343883277e-05	6.12743988926717e-12	3.87287212778488e-15	6.12956453005604e-12	0.999653378183972
4.93613209823831e-05	6.84502836062838e-12	4.32642670198883e-15	6.84740181948211e-12	0.999653378183974
5.21716857555477e-05	7.64665408466543e-12	4.833097347422e-15	7.64930550082945e-12	0.999653378183975
5.51420573924075e-05	8.54215871870582e-12	5.3991045217309e-15	8.54512064394157e-12	0.999653378183976
5.82815458123132e-05	9.54253648296864e-12	6.03139716442175e-15	9.54584528119558e-12	0.999653378183968
