# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 2
# active_virtual = 0
# process  = nu_e nu_e~ -> nu_e nu_e~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
8.70843149768936e-11	8.53069494825401e-23	1.57013171246727e-18	8.5201721012848e-23	1.00123505098772
9.05642837944385e-11	9.22610613230492e-23	1.57013171246727e-18	9.21472547650371e-23	1.00123505098771
9.41833153464645e-11	9.97820633382012e-23	1.57013171246727e-18	9.96589794172378e-23	1.00123505098771
9.79469667069382e-11	1.07916167679522e-22	1.57013171246727e-18	1.07783050117016e-22	1.00123505098771
1.01861017015581e-10	1.16713353653172e-22	1.57013171246727e-18	1.16569384519683e-22	1.00123505098772
1.0593147635182e-10	1.26227674813505e-22	1.57013171246727e-18	1.26071969503046e-22	1.00123505098772
1.10164594963347e-10	1.36517591090493e-22	1.57013171246727e-18	1.36349192885146e-22	1.00123505098772
1.14566872863468e-10	1.47646327991752e-22	1.57013171246727e-18	1.47464202183194e-22	1.00123505098771
1.19145069811958e-10	1.5968226508625e-22	1.57013171246727e-18	1.59485292618076e-22	1.00123505098772
1.23906215694771e-10	1.72699356156691e-22	1.57013171246727e-18	1.72486326748473e-22	1.00123505098771
1.2885762131853e-10	1.86777583602199e-22	1.57013171246727e-18	1.86547188313018e-22	1.00123505098771
1.34006889636372e-10	2.02003449883302e-22	1.57013171246727e-18	2.01754273069072e-22	1.00123505098771
1.3936192742239e-10	2.18470509028873e-22	1.57013171246727e-18	2.18201019644042e-22	1.00123505098771
1.44930957412596e-10	2.36279941470846e-22	1.57013171246727e-18	2.35988483661011e-22	1.00123505098772
1.50722530931049e-10	2.55541175738679e-22	1.57013171246727e-18	2.55225958666337e-22	1.00123505098771
1.56745541020532e-10	2.7637256083358e-22	1.57013171246727e-18	2.76031647674481e-22	1.00123505098771
1.63009236097945e-10	2.98902093413786e-22	1.57013171246727e-18	2.98533389456274e-22	1.00123505098771
1.69523234155381e-10	3.2326820425904e-22	1.57013171246727e-18	3.22869444033285e-22	1.00123505098771
1.76297537528688e-10	3.49620608846644e-22	1.57013171246727e-18	3.49189342204656e-22	1.00123505098771
1.83342548256195e-10	3.78121227265363e-22	1.57013171246727e-18	3.77654804326266e-22	1.00123505098771
1.9066908405119e-10	4.08945179119517e-22	1.57013171246727e-18	4.0844073398758e-22	1.00123505098772
1.9828839491267e-10	4.42281859536348e-22	1.57013171246727e-18	4.41736292691751e-22	1.00123505098771
2.06212180399876e-10	4.78336102888167e-22	1.57013171246727e-18	4.77746062142239e-22	1.00123505098772
2.14452607597126e-10	5.17329441379523e-22	1.57013171246727e-18	5.16691301277538e-22	1.00123505098771
2.23022329796551e-10	5.59501466232884e-22	1.57013171246727e-18	5.58811305777735e-22	1.00123505098772
2.31934505927398e-10	6.05111299836289e-22	1.57013171246727e-18	6.04364878396284e-22	1.00123505098772
2.41202820761754e-10	6.54439187898671e-22	1.57013171246727e-18	6.53631919151319e-22	1.00123505098772
2.50841505927705e-10	7.07788221395543e-22	1.57013171246727e-18	7.06915145147295e-22	1.00123505098772
2.60865361762204e-10	7.65486198885493e-22	1.57013171246727e-18	7.64541950594263e-22	1.00123505098771
2.71289780037193e-10	8.27887640640318e-22	1.57013171246727e-18	8.268664184535e-22	1.00123505098771
2.82130767593891e-10	8.95375966964382e-22	1.57013171246727e-18	8.94271496069885e-22	1.0012350509877
2.9340497092152e-10	9.68365854087831e-22	1.57013171246727e-18	9.67171348158993e-22	1.00123505098772
3.05129701718225e-10	1.047305782109e-21	1.57013171246727e-18	1.04601390160666e-21	1.00123505098771
3.17322963473433e-10	1.13268079064203e-21	1.57013171246727e-18	1.13128359771729e-21	1.00123505098772
3.30003479112461e-10	1.22501545910107e-21	1.57013171246727e-18	1.22350436882188e-21	1.00123505098771
3.43190719745834e-10	1.32487712993348e-21	1.57013171246727e-18	1.32324285753529e-21	1.00123505098771
3.56904934567449e-10	1.43287939460685e-21	1.57013171246727e-18	1.43111189844315e-21	1.00123505098771
3.71167181947499e-10	1.5496858637691e-21	1.57013171246727e-18	1.54777428361137e-21	1.00123505098771
3.85999361767896e-10	1.67601424474719e-21	1.57013171246727e-18	1.67394683505517e-21	1.00123505098772
4.01424249049847e-10	1.81264075143812e-21	1.57013171246727e-18	1.81040480919037e-21	1.00123505098771
4.17465528925225e-10	1.96040487368875e-21	1.57013171246727e-18	1.95798666032999e-21	1.00123505098771
4.34147833005416e-10	2.12021453546903e-21	1.57013171246727e-18	2.11759919249477e-21	1.00123505098771
4.51496777203513e-10	2.29305167353297e-21	1.57013171246727e-18	2.29022313119271e-21	1.00123505098771
4.69539001067904e-10	2.47997827084473e-21	1.57013171246727e-18	2.47691914940277e-21	1.00123505098771
4.88302208687681e-10	2.68214288184184e-21	1.57013171246727e-18	2.67883438478899e-21	1.00123505098771
